,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
79,123.0,CUYAHOGA COUNTY,Broadview Heights,BROADVIEW HEIGHTS,"19,186",0,24,0.0,0.0,0,0,7,17,0,0.0,124.0,CUYAHOGA COUNTY,OH01809,BROADVIEW HEIGHTS,"19,228",1,21,0.0,0.0,0,1,5,11,5,0.0
80,126.0,CUYAHOGA COUNTY,Cleveland Heights,CLEVELAND HEIGHTS,"44,696",145,997,3.0,9.0,80,53,118,781,98,3.0,127.0,CUYAHOGA COUNTY,OH01815,CLEVELAND HEIGHTS,"44,525",131,879,2.0,16.0,79,34,125,655,99,1.0
81,128.0,CUYAHOGA COUNTY,Euclid,EUCLID,"47,416",275,"1,329",8.0,17.0,107,143,343,804,182,5.0,129.0,CUYAHOGA COUNTY,OH01818,EUCLID,"47,270",303,"1,267",4.0,26.0,118,155,226,910,131,6.0
82,129.0,CUYAHOGA COUNTY,Fairview Park,FAIRVIEW PARK,"16,318",32,227,0.0,0.0,6,26,35,183,9,0.0,130.0,CUYAHOGA COUNTY,OH01819,FAIRVIEW PARK,"16,307",18,176,1.0,1.0,4,12,14,155,7,1.0
83,130.0,CUYAHOGA COUNTY,Garfield Heights,GARFIELD HEIGHTS,"27,938",37,190,0.0,7.0,17,13,74,116,0,2.0,131.0,CUYAHOGA COUNTY,OH01820,GARFIELD HEIGHTS,"27,846",0,0,0.0,0.0,0,0,0,0,0,0.0
84,134.0,CUYAHOGA COUNTY,Lakewood,LAKEWOOD,"50,349",63,876,3.0,8.0,32,20,144,665,67,4.0,136.0,CUYAHOGA COUNTY,OH01826,LAKEWOOD,"50,151",74,"1,199",2.0,6.0,40,26,469,652,78,5.0
85,135.0,CUYAHOGA COUNTY,Lyndhurst,LYNDHURST,"13,624",14,194,0.0,5.0,6,3,19,169,6,2.0,137.0,CUYAHOGA COUNTY,OH01827,LYNDHURST,"13,586",18,180,0.0,0.0,7,11,21,148,11,0.0
86,138.0,CUYAHOGA COUNTY,North Olmsted,NORTH OLMSTED,"31,851",26,619,1.0,6.0,13,6,69,512,38,0.0,140.0,CUYAHOGA COUNTY,OH01834,NORTH OLMSTED,"31,779",26,470,0.0,6.0,11,9,40,398,32,0.0
87,140.0,CUYAHOGA COUNTY,Olmsted Falls,OLMSTED FALLS,"8,859",3,30,0.0,0.0,0,3,11,17,2,0.0,143.0,CUYAHOGA COUNTY,OH01839,OLMSTED FALLS,"8,898",3,31,0.0,1.0,1,1,9,19,3,0.0
88,141.0,CUYAHOGA COUNTY,Parma,PARMA,"79,576",108,"1,102",0.0,26.0,43,39,271,712,119,11.0,144.0,CUYAHOGA COUNTY,OH01842,PARMA,"79,340",141,906,0.0,39.0,37,65,199,633,74,2.0
