,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
83,135,CUYAHOGA COUNTY,Lyndhurst,LYNDHURST,"13,624",14,194,0,5,6,3,19,169,6,2,137,CUYAHOGA COUNTY,OH01827,LYNDHURST,"13,586",18,180,0,0,7,11,21,148,11,0
84,138,CUYAHOGA COUNTY,North Olmsted,NORTH OLMSTED,"31,851",26,619,1,6,13,6,69,512,38,0,140,CUYAHOGA COUNTY,OH01834,NORTH OLMSTED,"31,779",26,470,0,6,11,9,40,398,32,0
85,140,CUYAHOGA COUNTY,Olmsted Falls,OLMSTED FALLS,"8,859",3,30,0,0,0,3,11,17,2,0,143,CUYAHOGA COUNTY,OH01839,OLMSTED FALLS,"8,898",3,31,0,1,1,1,9,19,3,0
86,141,CUYAHOGA COUNTY,Parma,PARMA,"79,576",108,"1,102",0,26,43,39,271,712,119,11,144,CUYAHOGA COUNTY,OH01842,PARMA,"79,340",141,906,0,39,37,65,199,633,74,2
87,143,CUYAHOGA COUNTY,Richmond Heights,RICHMOND HEIGHTS,"10,445",27,249,0,2,15,10,56,165,28,0,147,CUYAHOGA COUNTY,OH01845,RICHMOND HEIGHTS,"10,432",19,206,0,0,12,7,37,146,23,0
88,144,CUYAHOGA COUNTY,Rocky River,ROCKY RIVER,"20,400",7,81,0,1,0,6,15,62,4,0,148,CUYAHOGA COUNTY,OH01846,ROCKY RIVER,"20,342",7,73,0,1,2,4,7,62,4,0
89,145,CUYAHOGA COUNTY,Seven Hills,SEVEN HILLS,"11,661",4,64,0,1,1,2,16,46,2,0,149,CUYAHOGA COUNTY,OH01847,SEVEN HILLS,"11,668",3,50,0,0,1,2,14,33,3,0
90,146,CUYAHOGA COUNTY,Solon,SOLON,"22,971",11,175,1,5,1,4,15,154,6,1,150,CUYAHOGA COUNTY,OH01849,SOLON,"23,023",13,182,0,2,4,7,25,146,11,0
91,147,CUYAHOGA COUNTY,South Euclid,SOUTH EUCLID,"21,686",35,570,0,4,23,8,57,474,39,0,151,CUYAHOGA COUNTY,OH01850,SOUTH EUCLID,"21,628",33,645,0,5,14,14,74,536,35,0
92,148,CUYAHOGA COUNTY,Strongsville,STRONGSVILLE,"44,626",19,882,0,0,14,5,65,797,20,1,152,CUYAHOGA COUNTY,OH01851,STRONGSVILLE,"44,758",18,852,2,1,9,6,67,760,25,0
93,152,CUYAHOGA COUNTY,Westlake,WESTLAKE,"32,353",14,461,0,0,5,9,37,403,21,3,157,CUYAHOGA COUNTY,OH01857,WESTLAKE,"32,330",13,366,0,1,9,3,25,326,15,0
94,161,DEFIANCE COUNTY,Defiance,DEFIANCE,"16,697",25,341,0,16,1,8,42,291,8,3,166,DEFIANCE COUNTY,OH02001,DEFIANCE,"16,594",26,464,0,14,3,9,54,390,20,1
95,161,DEFIANCE COUNTY,Defiance,DEFIANCE,"16,697",25,341,0,16,1,8,42,291,8,3,167,DEFIANCE COUNTY,OH02000,DEFIANCE,"18,083",13,135,0,9,0,4,31,100,4,1
96,166,DELAWARE COUNTY,Powell,POWELL,"13,273",0,106,0,0,0,0,24,80,2,0,170,DELAWARE COUNTY,OH02105,POWELL,"13,029",6,103,0,2,2,2,12,90,1,0
97,172,ERIE COUNTY,Sandusky,SANDUSKY,"25,078",45,911,1,6,19,19,199,680,32,3,177,ERIE COUNTY,OH02203,SANDUSKY,"24,861",70,995,1,13,31,25,187,769,39,2
98,175,ERIE COUNTY,Milan,MILAN,984,1,19,0,1,0,0,4,15,0,0,181,ERIE COUNTY,OH02208,MILAN,983,1,7,0,1,0,0,0,7,0,0
99,175,ERIE COUNTY,Milan,MILAN,984,1,19,0,1,0,0,4,15,0,0,316,ERIE COUNTY,OH02208,MILAN,356,0,3,0,0,0,0,0,3,0,0
100,181,FAIRFIELD COUNTY,Lancaster,LANCASTER,"39,959",141,"1,826",0,30,46,65,271,"1,499",56,6,186,FAIRFIELD COUNTY,OH02301,LANCASTER,"40,026",127,"1,706",0,24,33,70,236,"1,382",88,12
101,182,FAIRFIELD COUNTY,Baltimore,BALTIMORE,"2,970",1,25,0,0,0,1,7,16,2,0,187,FAIRFIELD COUNTY,OH02303,BALTIMORE,"2,973",0,15,0,0,0,0,3,11,1,1
102,183,FAIRFIELD COUNTY,Carroll,CARROLL,519,0,6,0,0,0,0,0,6,0,0,188,FAIRFIELD COUNTY,OH02306,CARROLL,520,0,3,0,0,0,0,2,1,0,0
103,184,FAIRFIELD COUNTY,Lithopolis,LITHOPOLIS,"1,350",0,13,0,0,0,0,3,10,0,0,189,FAIRFIELD COUNTY,OH02307,LITHOPOLIS,"1,448",0,13,0,0,0,0,4,9,0,0
104,184,FAIRFIELD COUNTY,Lithopolis,LITHOPOLIS,"1,350",0,13,0,0,0,0,3,10,0,0,198,FAIRFIELD COUNTY,OH02307,LITHOPOLIS,42,0,0,0,0,0,0,0,0,0,0
105,186,FAIRFIELD COUNTY,Pickerington,PICKERINGTON,"19,964",16,428,0,0,10,6,42,380,6,0,191,FAIRFIELD COUNTY,OH02309,PICKERINGTON,"20,297",38,351,0,6,12,20,20,315,16,0
106,186,FAIRFIELD COUNTY,Pickerington,PICKERINGTON,"19,964",16,428,0,0,10,6,42,380,6,0,199,FAIRFIELD COUNTY,OH02309,PICKERINGTON,76,0,1,0,0,0,0,0,1,0,0
107,189,FAYETTE COUNTY,Washington Court House,WASHINGTON COURT HOUSE,"13,986",37,612,0,9,9,19,137,459,16,2,195,FAYETTE COUNTY,OH02401,WASHINGTON COURT HO,"14,136",41,548,0,16,14,11,79,459,10,4
108,191,FRANKLIN COUNTY,Columbus,COLUMBUS,"844,206","4,405","34,368",89,849,"2,099","1,368","7,593","23,300","3,475",396,168,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1,9,20,15,71,231,42,4
109,191,FRANKLIN COUNTY,Columbus,COLUMBUS,"844,206","4,405","34,368",89,849,"2,099","1,368","7,593","23,300","3,475",396,185,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2,11,24,17,85,277,50,5
110,191,FRANKLIN COUNTY,Columbus,COLUMBUS,"844,206","4,405","34,368",89,849,"2,099","1,368","7,593","23,300","3,475",396,197,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139,899,"1,919","1,422","6,955","22,613","4,084",370
111,195,FRANKLIN COUNTY,Bexley,BEXLEY,"13,775",26,359,0,12,13,1,99,242,18,0,201,FRANKLIN COUNTY,OH02501,BEXLEY,"13,773",20,420,1,4,10,5,104,301,15,0
