County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,0,3,0,2,0,1
#N/A,#N/A,1663,2,0,0,1,1
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,50307,78,0,12,11,55
Madison County,London,10094,20,0,6,5,9
Madison County,West Jefferson,4284,2,0,0,2,0
#N/A,#N/A,3483,2,0,1,0,1
#N/A,#N/A,25841,19,0,6,3,10
Mahoning County,Boardman,39887,67,0,8,35,24
Mahoning County,Youngstown,64597,478,19,37,144,278
#N/A,#N/A,666,0,0,0,0,0
#N/A,#N/A,4,0,0,0,0,0
#N/A,#N/A,340,0,0,0,0,0
#N/A,#N/A,35850,58,0,6,15,37
#N/A,#N/A,7988,8,0,1,4,3
Mahoning County,Canfield,8439,4,0,1,1,2
#N/A,#N/A,1106,1,0,0,0,1
#N/A,#N/A,2484,0,0,0,0,0
#N/A,#N/A,4273,3,0,2,0,1
Mahoning County,Struthers,10380,22,0,3,6,13
#N/A,#N/A,1576,1,0,0,0,1
#N/A,#N/A,6530,2,0,0,0,2
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,6487,5,0,2,0,3
#N/A,#N/A,3127,12,0,1,1,10
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,2483,0,0,0,0,0
Mahoning County,North Jackson,2053,1,0,0,0,1
#N/A,#N/A,12112,1,0,0,0,1
#N/A,#N/A,1350,2,0,0,1,1
#N/A,#N/A,39,0,0,0,0,0
#N/A,#N/A,14790,7,0,3,0,4
#N/A,#N/A,36577,133,1,46,42,44
#N/A,#N/A,28988,29,0,7,7,15
Medina County,Brunswick,34692,17,1,2,2,12
Medina County,Medina,26496,29,2,7,7,13
Medina County,Wadsworth,21966,17,1,5,3,8
#N/A,#N/A,1146,0,0,0,0,0
Medina County,Lodi,2799,4,0,0,1,3
Medina County,Spencer,771,4,0,0,0,4
Medina County,Hinckley,7993,5,0,0,2,3
#N/A,#N/A,11738,0,0,0,0,0
#N/A,#N/A,8961,8,0,1,4,3
#N/A,#N/A,10345,2,0,0,1,1
#N/A,#N/A,115,0,0,0,0,0
#N/A,#N/A,92,0,0,0,0,0
#N/A,#N/A,47517,2,0,0,0,2
#N/A,#N/A,2474,1,0,0,0,1
#N/A,#N/A,1822,0,0,0,0,0
#N/A,#N/A,381,0,0,0,0,0
#N/A,#N/A,815,0,0,0,0,0
#N/A,#N/A,17089,21,0,6,1,14
Mercer County,Celina,10366,15,0,1,1,13
Mercer County,Coldwater,4459,0,0,0,0,0
Mercer County,Fort Recovery,1419,0,0,0,0,0
Mercer County,Rockford,1106,0,0,0,0,0
Mercer County,Saint Henry,2503,0,0,0,0,0
#N/A,#N/A,21010,13,0,8,0,5
Miami County,Piqua,20821,52,0,17,28,7
Miami County,Tipp City,9900,8,0,1,6,1
Miami County,Troy,25649,61,0,25,10,26
Miami County,Covington,2624,1,0,0,0,1
#N/A,#N/A,983,3,0,1,1,1
#N/A,#N/A,24,0,0,0,0,0
#N/A,#N/A,39586,23,0,12,3,8
#N/A,#N/A,12090,8,2,4,0,2
Montgomery County,Dayton,140683,1339,27,155,483,674
Montgomery County,Centerville,23886,14,0,2,6,6
Montgomery County,Germantown,5496,2,0,0,0,2
Montgomery County,Kettering,55106,71,1,24,35,11
#N/A,#N/A,29134,49,1,20,19,9
Montgomery County,Miamisburg,20064,18,0,6,6,6
Montgomery County,Moraine,6378,35,0,7,21,7
Montgomery County,Clayton,13156,8,1,0,6,1
Montgomery County,Trotwood,24100,84,4,17,42,21
Montgomery County,Vandalia,15106,26,0,6,11,9
#N/A,#N/A,37181,82,1,24,25,32
Montgomery County,West Carrollton,12983,38,0,14,17,7
Montgomery County,Brookville,5895,3,0,2,1,0
Montgomery County,Englewood,13450,18,0,11,4,3
Montgomery County,New Lebanon,3986,6,0,1,1,4
#N/A,#N/A,24993,56,0,10,19,27
#N/A,#N/A,6356,5,0,1,0,4
#N/A,#N/A,7857,22,1,2,7,12
#N/A,#N/A,2892,1,0,1,0,0
#N/A,#N/A,3686,2,0,1,0,1
#N/A,#N/A,3346,1,0,1,0,0
#N/A,#N/A,4222,2,0,1,1,0
#N/A,#N/A,0,1,0,0,1,0
#N/A,#N/A,213,0,0,0,0,0
#N/A,#N/A,1249,1,0,1,0,0
#N/A,#N/A,62097,196,4,50,81,61
#N/A,#N/A,1800,5,1,0,0,4
#N/A,#N/A,12997,27,0,3,0,24
#N/A,#N/A,2056,4,0,3,0,1
#N/A,#N/A,29089,8,0,4,3,1
Muskingum County,Zanesville,25337,92,1,11,19,61
Muskingum County,Dresden,1733,0,0,0,0,0
Muskingum County,Frazeysburg,1315,0,0,0,0,0
Muskingum County,New Concord,2299,0,0,0,0,0
Muskingum County,Roseville,750,2,0,0,0,2
#N/A,#N/A,1963,0,0,0,0,0
#N/A,#N/A,0,1,1,0,0,0
#N/A,#N/A,52364,55,1,27,7,20
#N/A,#N/A,12622,0,0,0,0,0
Ottawa County,Oak Harbor,2728,3,0,2,0,1
Ottawa County,Port Clinton,5998,20,0,13,0,7
Ottawa County,Genoa,2318,0,0,0,0,0
Ottawa County,Marblehead,892,2,0,0,0,2
#N/A,#N/A,2123,2,0,1,0,1
#N/A,#N/A,20077,7,0,6,1,0
#N/A,#N/A,1148,0,0,0,0,0
Paulding County,Paulding,13275,17,1,1,0,15
#N/A,#N/A,1093,5,0,0,1,4
Perry County,Crooksville,2484,2,0,0,1,1
Perry County,New Lexington,4708,13,0,3,3,7
#N/A,#N/A,807,1,0,0,0,1
Perry County,Somerset,1457,0,0,0,0,0
Perry County,Thornville,992,1,0,1,0,0
#N/A,#N/A,22304,20,0,10,3,7
Pickaway County,Circleville,13482,39,1,10,13,15
Pickaway County,Ashville,4160,3,0,0,0,3
#N/A,#N/A,1602,0,0,0,0,0
#N/A,#N/A,1829,3,0,1,0,2
#N/A,#N/A,36118,32,1,12,2,17
#N/A,#N/A,4261,7,1,0,1,5
#N/A,#N/A,2137,3,0,1,0,2
#N/A,#N/A,21750,20,0,9,6,5
Portage County,Aurora,15783,6,0,3,0,3
Portage County,Garrettsville,2327,1,0,0,0,1
Portage County,Kent,29831,65,1,2,9,53
Portage County,Windham,2202,9,0,4,0,5
#N/A,#N/A,464,3,0,0,0,3
Portage County,Hiram,1275,0,0,0,0,0
#N/A,#N/A,0,7,0,3,3,1
Portage County,Streetsboro,16286,12,0,4,3,5
#N/A,#N/A,10381,5,0,1,1,3
#N/A,#N/A,0,0,0,0,0,0
Portage County,Mogadore,1023,1,0,0,0,1
#N/A,#N/A,289,0,0,0,0,0
#N/A,#N/A,70591,37,0,14,9,14
Preble County,Camden,1970,0,0,0,0,0
#N/A,#N/A,860,2,0,0,0,2
#N/A,#N/A,1583,2,0,0,0,2
Preble County,West Alexandria,1341,3,0,1,0,2
#N/A,#N/A,27279,13,1,8,1,3
Putnam County,Ottawa,4410,3,0,1,0,2
Putnam County,Columbus Grove,2071,2,0,0,0,2
Putnam County,Leipsic,2038,0,0,0,0,0
#N/A,#N/A,973,0,0,0,0,0
Putnam County,Pandora,1151,0,0,0,0,0
#N/A,#N/A,1562,0,0,0,0,0
#N/A,#N/A,20460,9,1,6,0,2
Richland County,Mansfield,46605,236,5,60,75,96
#N/A,#N/A,6106,6,0,1,5,0
Richland County,Plymouth,918,3,0,1,0,2
Richland County,Shelby,9038,3,0,1,2,0
Richland County,Bellville,1869,2,0,0,0,2
#N/A,#N/A,51247,68,0,35,13,20
Ross County,Chillicothe,21696,100,3,12,29,56
#N/A,#N/A,55254,74,3,20,14,37
Sandusky County,Bellevue,4449,1,0,0,0,1
Sandusky County,Clyde,6290,3,1,0,0,2
Sandusky County,Fremont,16380,46,0,0,24,22
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,20346,106,0,21,23,62
#N/A,#N/A,0,1,0,1,0,0
#N/A,#N/A,54205,28,0,7,4,17
