,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
571,Stark County,Canton,12,OH07604,CANTON,"72,111",814,7.0,69.0,242,496
572,Stark County,Massillon,12,OH07608,MASSILLON,"32,301",85,1.0,26.0,21,37
573,Stark County,Alliance,12*,OH07601,ALLIANCE,"21,984",131,1.0,14.0,15,101
574,Stark County,Brewster,12,OH07602,BREWSTER,"2,171",1,0.0,0.0,0,1
575,Stark County,Canal Fulton,12,OH07603,CANAL FULTON,"5,497",5,0.0,1.0,0,4
577,Stark County,Hartville,12,OH07606,HARTVILLE,"2,968",1,0.0,0.0,1,0
578,Stark County,Louisville,12,OH07607,LOUISVILLE,"9,139",14,0.0,7.0,1,6
579,Stark County,Minerva,12*,OH07609,MINERVA,"1,946",1,0.0,0.0,0,1
580,Stark County,Navarre,12,OH07610,NAVARRE,"1,925",2,0.0,1.0,0,1
581,Stark County,North Canton,12,OH07611,NORTH CANTON,"17,496",20,0.0,4.0,2,14
582,Stark County,Beach City,4,OH07612,BEACH CITY,"1,008",0,0.0,0.0,0,0
583,Stark County,Waynesburg,2,OH07618,WAYNESBURG,925,0,0.0,0.0,0,0
586,Stark County,Uniontown,12,OH07625,UNIONTOWN,"3,327",2,0.0,0.0,0,2
587,Stark County,Magnolia,12*,OH07630,MAGNOLIA,714,3,0.0,1.0,1,1
589,Summit County,Akron,12,OH07701,AKRON,"197,587","1,225",29.0,179.0,414,603
590,Summit County,Barberton,12,OH07702,BARBERTON,"26,242",58,1.0,11.0,15,31
591,Summit County,Cuyahoga Falls,12,OH07703,CUYAHOGA FALLS,"49,124",50,0.0,10.0,7,33
593,Summit County,Macedonia,12,OH07707,MACEDONIA,"11,687",2,0.0,1.0,0,1
595,Summit County,Northfield,12,OH07709,NORTHFIELD,"3,636",2,0.0,1.0,0,1
597,Summit County,Stow,12,OH07712,STOW,"34,762",23,0.0,10.0,12,1
598,Summit County,Tallmadge,12*,OH07713,TALLMADGE,"17,230",17,0.0,8.0,4,5
599,Summit County,Twinsburg,12,OH07714,TWINSBURG,"18,849",22,1.0,1.0,3,17
601,Summit County,Munroe Falls,12,OH07717,MUNROE FALLS,"5,015",3,0.0,0.0,0,3
