County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
#N/A,#N/A,286020,3352,39,172,1126,2015
#N/A,#N/A,110,,,,,
#N/A,#N/A,14226,12,,4,2,6
#N/A,#N/A,20205,34,1,1,11,21
#N/A,#N/A,4499,6,,1,,5
#N/A,#N/A,29397,27,,,19,8
#N/A,#N/A,1758,6,,,4,2
#N/A,#N/A,5500,,,,,
#N/A,#N/A,,5,,1,4,
#N/A,#N/A,,1,,,1,
#N/A,#N/A,53354,82,,4,22,56
#N/A,#N/A,,,,,,
Madison County,London,9895,15,,1,6,8
Madison County,West Jefferson,4217,7,1,,2,4
#N/A,#N/A,3393,,,,,
#N/A,#N/A,25539,13,,3,2,8
#N/A,#N/A,,,,,,
Mahoning County,Boardman,40608,43,1,6,31,5
Mahoning County,Youngstown,66556,685,22,39,244,380
#N/A,#N/A,4,,,,,
#N/A,#N/A,36478,63,,6,19,38
#N/A,#N/A,8178,10,1,1,3,5
Mahoning County,Canfield,7464,2,1,1,,
#N/A,#N/A,1148,,,,,
#N/A,#N/A,2537,,,,,
#N/A,#N/A,4391,2,,1,,1
Mahoning County,Struthers,10639,4,,1,3,
Mahoning County,New Middletown,1610,,,,,
#N/A,#N/A,6667,1,,,1,
#N/A,#N/A,,1,,,1,
#N/A,#N/A,4441,6,,1,1,4
#N/A,#N/A,6660,2,,,,2
#N/A,#N/A,3221,11,,1,,10
#N/A,#N/A,,1,,,1,
#N/A,#N/A,2562,1,,,1,
#N/A,#N/A,2100,1,,,1,
#N/A,#N/A,12327,4,,,1,3
#N/A,#N/A,1382,,,,,
#N/A,#N/A,40,,,,,
#N/A,#N/A,16061,7,,2,2,3
#N/A,#N/A,,,,,,
#N/A,#N/A,36687,100,2,14,51,33
#N/A,#N/A,,,,,,
#N/A,#N/A,29521,34,,6,20,8
#N/A,#N/A,,,,,,
Medina County,Brunswick,34439,84,,,8,76
Medina County,Medina,26820,15,2,3,2,8
Medina County,Wadsworth,21682,11,,6,,5
Medina County,Lodi,2760,11,,2,1,8
Medina County,Seville,2307,4,,1,1,2
Medina County,Spencer,758,,,,,
Medina County,Hinckley,7688,1,,,1,
#N/A,#N/A,11244,5,1,2,1,1
#N/A,#N/A,8582,2,,2,,
#N/A,#N/A,9950,1,,1,,
#N/A,#N/A,117,,,,,
#N/A,#N/A,98,,,,,
#N/A,#N/A,45684,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,2519,2,,,,2
#N/A,#N/A,1845,1,,1,,
#N/A,#N/A,823,,,,,
#N/A,#N/A,17427,16,1,5,5,5
#N/A,#N/A,,,,,,
Mercer County,Celina,10405,9,,6,,3
Mercer County,Coldwater,4430,,,,,
Mercer County,Fort Recovery,1429,1,,,,1
Mercer County,Rockford,1121,,,,,
Mercer County,Saint Henry,2428,,,,,
#N/A,#N/A,21022,10,1,3,1,5
#N/A,#N/A,,,,,,
Miami County,Piqua,20591,24,1,7,13,3
Miami County,Tipp City,9720,6,,1,4,1
Miami County,Troy,25141,17,,3,13,1
Miami County,Covington,2593,,,,,
#N/A,#N/A,962,,,,,
#N/A,#N/A,24,,,,,
#N/A,#N/A,43820,17,,6,5,6
#N/A,#N/A,,,,,,
#N/A,#N/A,12209,4,,2,,2
#N/A,#N/A,,,,,,
Montgomery County,Dayton,142139,1401,26,116,638,621
Montgomery County,Centerville,24105,19,,2,5,12
Montgomery County,Germantown,5574,5,,2,,3
Montgomery County,Kettering,55952,50,,22,20,8
#N/A,#N/A,29265,40,2,9,21,8
Montgomery County,Miamisburg,20273,32,,7,11,14
Montgomery County,Moraine,6336,29,,5,16,8
Montgomery County,Clayton,13268,9,,2,5,2
Montgomery County,Trotwood,24540,76,1,16,48,11
Montgomery County,Vandalia,15316,21,,4,5,12
Montgomery County,Huber Heights,37314,32,,4,11,17
Montgomery County,West Carrollton,13203,25,,7,10,8
Montgomery County,Brookville,5910,11,,3,2,6
Montgomery County,Englewood,13526,9,,2,5,2
Montgomery County,New Lebanon,4013,6,,4,,2
#N/A,#N/A,25317,46,1,5,14,26
#N/A,#N/A,6424,2,,2,,
#N/A,#N/A,7904,14,,1,11,2
#N/A,#N/A,2895,1,,1,,
#N/A,#N/A,3713,2,,1,1,
#N/A,#N/A,3372,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,206,,,,,
#N/A,#N/A,1225,,,,,
#N/A,#N/A,66534,298,2,35,110,151
#N/A,#N/A,,,,,,
#N/A,#N/A,1781,2,,1,,1
#N/A,#N/A,13252,4,,,,4
#N/A,#N/A,,,,,,
#N/A,#N/A,3662,1,,,1,
#N/A,#N/A,2047,5,2,2,,1
#N/A,#N/A,437,1,,1,,
#N/A,#N/A,28707,16,,3,3,10
#N/A,#N/A,,,,,,
Muskingum County,Zanesville,25529,104,2,9,41,52
Muskingum County,Frazeysburg,1329,,,,,
Muskingum County,New Concord,2494,,,,,
#N/A,#N/A,756,,,,,
#N/A,#N/A,1993,,,,,
#N/A,#N/A,,1,,1,,
#N/A,#N/A,52598,53,1,22,12,18
#N/A,#N/A,,,,,,
Ottawa County,Oak Harbor,2758,1,,,1,
Ottawa County,Port Clinton,6050,5,,,2,3
Ottawa County,Genoa,2335,2,,,,2
Ottawa County,Marblehead,902,,,,,
#N/A,#N/A,417,,,,,
#N/A,#N/A,2720,,,,,
#N/A,#N/A,22340,3,,1,2,
#N/A,#N/A,,,,,,
Paulding County,Paulding,3568,2,,1,1,
Paulding County,Oakwood,605,,,,,
#N/A,#N/A,1181,,,,,
#N/A,#N/A,13668,8,,2,,6
#N/A,#N/A,,,,,,
#N/A,#N/A,1105,2,,1,,1
Perry County,Crooksville,2551,,,,,
Perry County,New Lexington,4791,5,,,,5
#N/A,#N/A,726,,,,,
#N/A,#N/A,824,,,,,
Perry County,Somerset,1490,1,,,1,
Perry County,Thornville,1002,,,,,
#N/A,#N/A,23152,,,,,
#N/A,#N/A,,,,,,
Pickaway County,Circleville,13388,31,1,6,14,10
Pickaway County,Ashville,4120,1,,,,1
Pickaway County,Commercial Point,1590,2,,,,2
#N/A,#N/A,1754,,,,,
#N/A,#N/A,35134,28,,5,5,18
#N/A,#N/A,,,,,,
