County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
Hamilton County,Cincinnati,CINCINNATI,"298,880","2,720","15,382",57,249,"1,278","1,136","3,929","10,216","1,237",485
#N/A,#N/A,MILFORD,29,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,AMBERLEY VILLAGE,"3,592",1,43,0,0,1,0,0,42,1,0
Hamilton County,Blue Ash,BLUE ASH,"12,169",11,320,0,4,4,3,41,273,6,3
#N/A,#N/A,CHEVIOT,"8,281",30,254,0,4,10,16,46,198,10,0
Hamilton County,Deer Park,DEER PARK,"5,672",9,74,0,1,4,4,9,63,2,0
#N/A,#N/A,DELHI TOWNSHIP,"29,573",20,514,0,10,1,9,84,409,21,1
#N/A,#N/A,ELMWOOD PLACE,"2,160",10,35,2,2,3,3,10,21,4,0
#N/A,#N/A,EVENDALE,"2,766",6,238,0,0,1,5,7,231,0,0
#N/A,#N/A,FAIRFAX,"1,704",3,261,0,0,2,1,12,249,0,0
Hamilton County,Forest Park,FOREST PARK,"18,669",47,633,0,9,21,17,157,449,27,2
#N/A,#N/A,GLENDALE,"2,153",1,9,0,0,1,0,0,6,3,0
Hamilton County,Greenhills,GREENHILLS,"3,589",1,36,0,1,0,0,8,27,1,1
Hamilton County,Harrison,HARRISON,"10,819",0,306,0,0,0,0,15,282,9,0
#N/A,#N/A,INDIAN HILL,"5,801",1,44,0,0,0,1,8,36,0,0
#N/A,#N/A,LOCKLAND,"3,422",20,121,0,3,10,7,22,92,7,1
#N/A,#N/A,LOVELAND,"9,840",6,102,0,2,3,1,17,78,7,1
#N/A,#N/A,MARIEMONT,"3,431",1,45,0,0,1,0,3,40,2,0
Hamilton County,Montgomery,MONTGOMERY,"10,558",4,148,0,0,0,4,14,130,4,0
#N/A,#N/A,MOUNT HEALTHY,"6,028",31,259,4,3,16,8,45,196,18,1
#N/A,#N/A,NEWTOWN,"2,663",3,31,0,0,1,2,6,22,3,0
#N/A,#N/A,NORTH COLLEGE HILL,"9,320",30,311,1,4,13,12,38,247,26,0
Hamilton County,Norwood,NORWOOD,"20,065",52,"1,013",0,12,28,12,166,798,49,2
Hamilton County,Springdale,SPRINGDALE,"11,175",7,118,0,0,3,4,16,95,7,1
#N/A,#N/A,SPRINGFIELD TOWNSHIP,"36,527",60,794,1,6,33,20,172,565,57,5
#N/A,#N/A,WOODLAWN,"3,292",6,115,0,1,1,4,11,98,6,0
#N/A,#N/A,WYOMING,"8,407",5,159,0,0,4,1,17,139,3,1
#N/A,#N/A,UNIVERSITY OF CINCINNATI,0,45,254,0,40,2,3,18,233,3,0
#N/A,#N/A,COLERAIN TOWNSHIP,"58,907",111,"2,135",2,19,59,31,310,"1,760",65,3
#N/A,#N/A,GREEN TOWNSHIP,"58,764",39,"1,215",0,10,22,7,176,989,50,0
#N/A,#N/A,MOUNT ST. JOSEPH UNIVERSITY,0,0,13,0,0,0,0,3,10,0,0
#N/A,#N/A,HAMILTON COUNTY SHERIFF,"109,990",183,"2,743",2,41,38,102,436,"2,163",144,12
#N/A,#N/A,HAMILTON COUNTY PARKS,0,0,66,0,0,0,0,1,62,3,0
#N/A,#N/A,BLUFFTON,174,0,4,0,0,0,0,1,3,0,0
Hancock County,Findlay,FINDLAY,"41,156",53,630,3,15,9,26,104,515,11,1
#N/A,#N/A,FOSTORIA,"2,900",1,8,0,0,0,1,2,6,0,0
#N/A,#N/A,HANCOCK COUNTY SHERIFF,"29,782",12,227,1,3,2,6,80,142,5,0
#N/A,#N/A,ADA,"5,782",1,38,0,0,0,1,7,27,4,0
