,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
787,Williams County,Montpelier,12,OH08602,MONTPELIER,"4,050",23,230,,4,2,17
788,Williams County,Edgerton,1,OH08605,EDGERTON,"2,000",,1,,,,
789,Williams County,Pioneer,12,OH08607,PIONEER COUNTY SHERIFF,"1,373",2,25,,1,1,
791,Wood County,Bowling Green,12,OH08701,BOWLING GREEN,"31,844",49,781,,22,10,17
792,Wood County,North Baltimore,9,OH08702,NORTH BALTIMORE,"3,492",,65,,,,
793,Wood County,Perrysburg,12,OH08703,PERRYSBURG,"21,279",5,315,,3,1,1
794,Wood County,Rossford,12,OH08704,ROSSFORD,"6,426",3,130,,1,1,1
795,Wood County,Haskins,5,OH08712,HASKINS,"1,213",,5,,,,
796,Wood County,Luckey,4,OH08715,LUCKEY,"1,031",,1,,,,
797,Wood County,Northwood,12,OH08718,NORTHWOOD,"5,370",9,214,,3,4,2
800,Wood County,Walbridge,12,OH08723,WALBRIDGE,"3,065",2,16,,1,,1
801,Wood County,Wayne,2,OH08724,WAYNE,896,,1,,,,
