ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH02806,SOUTH RUSSELL,GEAUGA COUNTY,"3,819",,7,,,,,,7,,
OH02808,RUSSELL TOWNSHIP,GEAUGA COUNTY,"5,243",4,10,,,,4,1,9,,
OH02810,CHESTER TOWNSHIP,GEAUGA COUNTY,"10,355",,8,,,,,1,7,,
OH02812,BAINBRIDGE TOWNSHIP,GEAUGA COUNTY,"11,528",1,243,,,,1,5,238,,
OH02818,HOLDEN ARBORETUM,GEAUGA COUNTY,,,,,,,,,,,
OH02800,GEAUGA COUNTY SHERIFF,GEAUGA COUNTY,"53,977",19,185,,8,4,7,43,127,15,
OH02901,FAIRBORN,GREENE COUNTY,"33,936",82,723,,30,13,39,165,505,53,4
OH02903,XENIA,GREENE COUNTY,"26,331",55,811,1,16,8,30,141,636,34,6
OH02904,YELLOW SPRINGS,GREENE COUNTY,"3,713",11,72,,4,4,3,20,47,5,
OH02905,BELLBROOK,GREENE COUNTY,"7,159",5,39,,1,,4,,39,,
OH02909,JAMESTOWN,GREENE COUNTY,"2,036",3,84,,1,2,,27,53,4,1
OH02911,BEAVERCREEK,GREENE COUNTY,"46,572",38,"1,111",,13,9,16,49,"1,013",49,2
OH02912,WRIGHT STATE UNIVERSITY,GREENE COUNTY,,7,55,,4,3,,2,53,,
OH02913,SUGARCREEK TOWNSHIP,GREENE COUNTY,"8,300",4,181,,3,,1,14,162,5,
OH02914,CENTRAL STATE UNIVERSITY,GREENE COUNTY,,4,63,,,,4,12,51,,
OH05701,CENTERVILLE,GREENE COUNTY,2,,,,,,,,,,
OH05705,KETTERING,GREENE COUNTY,471,,8,,,,,2,6,,
OH02900,GREENE COUNTY SHERIFF,GREENE COUNTY,"33,052",36,421,3,16,2,15,97,298,26,2
OH03001,CAMBRIDGE,GUERNSEY COUNTY,"10,391",8,456,1,1,3,3,75,375,6,1
OH03002,BYESVILLE,GUERNSEY COUNTY,"2,372",,16,,,,,4,9,3,
OH03010,SENECAVILLE,GUERNSEY COUNTY,448,,,,,,,,,,
OHCIP00,CINCINNATI,HAMILTON COUNTY,"299,116","2,833","15,105",70,292,"1,196","1,275","3,448","10,172","1,485",1
OH01303,MILFORD,HAMILTON COUNTY,29,,1,,,,,,1,,
