County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,12*,OHCOP00,COLUMBUS,"9,883",54,487,1,8,30,15
Fairfield County,Lancaster,12,OH02301,LANCASTER,"38,902",133,"1,946",,34,41,58
Fairfield County,Baltimore,8,OH02303,BALTIMORE,"2,968",,11,,,,
Fairfield County,Carroll,5,OH02306,CARROLL,524,,8,,,,
Fairfield County,Lithopolis,12*,OH02307,LITHOPOLIS,"1,170",,7,,,,
Fairfield County,Millersport,4,OH02308,MILLERSPORT,"1,048",,2,,,,
#N/A,#N/A,12*,OH02508,REYNOLDSBURG,916,1,28,,,1,
#N/A,#N/A,12,OH02300,FAIRFIELD COUNTY SHERIFF,"73,562",45,979,1,17,8,19
#N/A,#N/A,,,,,,,,,,
Fayette County,Washington Court House,12,OH02401,WASHINGTON COURT HO,"14,083",24,683,,5,10,9
#N/A,#N/A,12,OH02400,FAYETTE COUNTY SHERIFF,"14,807",23,614,,10,4,9
#N/A,#N/A,,,,,,,,,,
Franklin County,Columbus,12*,OHCOP00,COLUMBUS,"798,951","4,352","39,724",76,678,"2,411","1,187"
#N/A,#N/A,12*,OH02307,LITHOPOLIS,33,,,,,,
#N/A,#N/A,12,OH025A1,CAPITAL UNIVERSITY,,3,25,,2,1,
Franklin County,Bexley,12,OH02501,BEXLEY,"13,316",21,366,,,14,7
Franklin County,Dublin,12*,OH02503,DUBLIN,"36,712",9,473,,1,7,1
Franklin County,Gahanna,12,OH02504,GAHANNA,"34,011",23,714,1,7,8,7
Franklin County,Grandview Heights,12,OH02505,GRANDVIEW HEIGHTS,"7,052",8,136,1,,5,2
Franklin County,Grove City,12,OH02506,GROVE CITY,"37,208",40,"1,272",1,5,29,5
Franklin County,Hilliard,12,OH02507,HILLIARD,"31,352",26,719,1,8,8,9
Franklin County,Reynoldsburg,12*,OH02508,REYNOLDSBURG,"26,729",52,824,1,5,35,11
Franklin County,Upper Arlington,12,OH02509,UPPER ARLINGTON,"34,369",10,456,,1,7,2
Franklin County,Westerville,12*,OH02510,WESTERVILLE,"29,306",11,668,,4,5,2
Franklin County,Whitehall,12,OH02511,WHITEHALL,"18,480",127,"1,343",2,9,73,43
#N/A,#N/A,12,OH02512,WORTHINGTON,"13,817",5,390,,,2,3
#N/A,#N/A,7,OH02513,BRICE,117,,6,,,,
#N/A,#N/A,5,OH02514,COLUMBUS & FRANKLIN COUNTY,,,2,,,,
Franklin County,Groveport,12,OH02516,GROVEPORT,"5,598",5,174,,2,1,2
#N/A,#N/A,2,OH02517,HARRISBURG,328,,,,,,
#N/A,#N/A,12,OH02520,MINERVA PARK,"1,297",1,29,,1,,
Franklin County,New Albany,12*,OH02521,NEW ALBANY,"8,743",2,99,,,,2
#N/A,#N/A,12,OH02523,OBETZ,"4,657",4,165,,,3,1
#N/A,#N/A,1,OH02526,VALLEYVIEW,629,1,,,1,,
#N/A,#N/A,12,OH02527,OHIO STATE UNIVERSITY: COLUMBUS,,16,875,,10,5,1
#N/A,#N/A,12,OH02530,BLENDON TOWNSHIP,"7,960",17,196,,2,9,6
#N/A,#N/A,12,OH02531,CLINTON TOWNSHIP,"4,072",30,213,1,,20,9
#N/A,#N/A,12,OH02532,FRANKLIN TOWNSHIP,"9,639",5,115,,,2,3
#N/A,#N/A,12,OH02533,MIFFLIN TOWNSHIP,"2,574",15,136,1,1,6,7
#N/A,#N/A,12,OH02534,PERRY TOWNSHIP,"3,727",,45,,,,
#N/A,#N/A,3,OH02535,MADISON TOWNSHIP,"17,721",,1,,,,
#N/A,#N/A,12,OH02540,SHARON TOWNSHIP,"2,398",1,43,,,1,
#N/A,#N/A,12,OH02544,COLUMBUS STATE COMMUNITY COLLEGE,,,81,,,,
#N/A,#N/A,7,OH02554,PORT COLUMBUS INTERNATIONAL AIRPORT,,,66,,,,
#N/A,#N/A,12,OH02599,OTTERBEIN UNIVERSITY,,2,30,,2,,
#N/A,#N/A,12,OH02500,FRANKLIN COUNTY SHERIFF,"57,217",136,"1,451",1,19,51,65
#N/A,#N/A,,,,,,,,,,
Fulton County,Delta,12,OH02602,DELTA,"3,078",1,33,,,1,
Fulton County,Fayette,4,OH02603,FAYETTE,"1,268",,2,,,,
Fulton County,Swanton,11*,OH02604,SWANTON,"3,582",3,7,,1,1,1
Fulton County,Wauseon,12,OH02605,WAUSEON,"7,301",8,206,,1,,7
#N/A,#N/A,12,OH02600,FULTON COUNTY SHERIFF,"23,008",17,277,1,4,,12
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH02701,GALLIPOLIS,"3,634",4,343,,,1,3
#N/A,#N/A,12,OH02706,RIO GRANDE,758,1,6,,,,1
#N/A,#N/A,2,OH02709,UNIVERSITY OF RIO GRANDE,,,1,,,,
#N/A,#N/A,12,OH02700,GALLIA COUNTY SHERIFF,"26,161",19,559,2,7,2,8
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12*,OH01824,HUNTING VALLEY,119,,,,,,
Geauga County,Chardon,12,OH02801,CHARDON,"5,172",6,103,,,,6
Geauga County,Burton,12,OH02803,BURTON,"1,459",,1,,,,
Geauga County,Middlefield,12,OH02805,MIDDLEFIELD,"2,707",4,47,,,,4
#N/A,#N/A,12,OH02806,SOUTH RUSSELL,"3,825",,13,,,,
#N/A,#N/A,12,OH02808,RUSSELL TOWNSHIP,"5,216",1,14,,,,1
#N/A,#N/A,12,OH02812,BAINBRIDGE TOWNSHIP,"11,454",3,268,,,2,1
#N/A,#N/A,12,OH02818,HOLDEN ARBORETUM,,,1,,,,
#N/A,#N/A,12,OH02800,GEAUGA COUNTY SHERIFF,"53,720",23,224,4,3,4,12
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH02901,FAIRBORN,"32,820",63,938,3,15,23,22
#N/A,#N/A,12,OH02903,XENIA,"26,038",55,"1,055",1,12,21,21
#N/A,#N/A,12,OH02904,YELLOW SPRINGS,"3,539",3,25,,1,,2
#N/A,#N/A,12,OH02905,BELLBROOK,"7,061",2,93,,1,1,
#N/A,#N/A,10,OH02907,CEDARVILLE,"4,049",,41,,,,
#N/A,#N/A,12,OH02911,BEAVERCREEK,"45,971",12,"1,150",,6,5,1
#N/A,#N/A,12,OH02912,WRIGHT STATE UNIVERSITY ,,6,153,,5,1,
#N/A,#N/A,12,OH02913,SUGARCREEK TOWNSHIP,"8,187",9,280,,4,,5
#N/A,#N/A,12,OH02914,CENTRAL STATE UNIVERSITY ,,1,97,,,,1
#N/A,#N/A,12*,OH05701,CENTERVILLE,2,,,,,,
#N/A,#N/A,12*,OH05705,KETTERING,470,,10,,,,
#N/A,#N/A,12,OH02900,GREENE COUNTY SHERIFF,"34,436",21,514,1,7,1,12
#N/A,#N/A,,,,,,,,,,
Guernsey County,Cambridge,12,OH03001,CAMBRIDGE,"10,534",37,548,,7,13,17
Guernsey County,Byesville,9,OH03002,BYESVILLE,"2,415",1,16,,,,1
#N/A,#N/A,2,OH03000,GUERNSEY COUNTY SHERIFF,"26,428",1,40,1,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OHCIP00,CINCINNATI,"296,491","2,858","17,302",70,218,"1,612",958
#N/A,#N/A,12*,OH01303,MILFORD,29,,1,,,,
#N/A,#N/A,5,OH03101,ADDYSTON,934,2,10,,1,,1
#N/A,#N/A,12,OH03102,AMBERLEY VILLAGE,"3,585",1,60,,1,,
#N/A,#N/A,1,OH03103,ARLINGTON HEIGHTS,741,,3,,,,
#N/A,#N/A,12,OH03104,BLUE ASH,"12,105",7,392,,1,2,4
#N/A,#N/A,12,OH03105,CHEVIOT,"8,313",10,207,,,10,
#N/A,#N/A,7,OH03106,CLEVES,"3,341",2,38,,,,2
#N/A,#N/A,12,OH03107,DEER PARK,"5,695",8,89,,1,,7
#N/A,#N/A,12,OH03108,DELHI TOWNSHIP,"29,471",17,675,,3,7,7
#N/A,#N/A,12,OH03110,EVENDALE,"2,762",7,377,,,,7
#N/A,#N/A,12,OH03111,FAIRFAX,"1,692",1,239,,,1,
#N/A,#N/A,12,OH03112,FOREST PARK,"18,672",30,470,,2,27,1
#N/A,#N/A,8,OH03113,GLENDALE,"2,154",,12,,,,
#N/A,#N/A,12,OH03115,GREENHILLS,"3,591",1,36,,,,1
#N/A,#N/A,12,OH03116,HARRISON,"10,157",3,245,,1,1,1
#N/A,#N/A,12,OH03117,INDIAN HILL,"5,789",2,52,,,,2
#N/A,#N/A,12,OH03118,LINCOLN HEIGHTS,"3,394",19,70,2,1,7,9
#N/A,#N/A,12,OH03119,LOCKLAND,"3,426",21,161,,3,11,7
#N/A,#N/A,12*,OH03120,LOVELAND,"9,469",6,98,1,3,,2
#N/A,#N/A,12,OH03121,MADEIRA,"8,837",,32,,,,
#N/A,#N/A,12,OH03122,MARIEMONT,"3,379",,52,,,,
#N/A,#N/A,12,OH03123,MONTGOMERY,"10,305",3,165,,,1,2
